"CFTR"
"CYP51A1"
"USP28"
"USH1C"
"RALA"
"BAIAP2L1"
"DVL2"
"RPAP3"
"CX3CL1"
"COPZ2"
"TRAPPC6A"
"CRY1"
"CD74"
"RANBP9"
"CD4"
"HIVEP2"
"PPP5C"
"NME1"
"UBR7"
"ERCC1"
"GPRC5A"
"COX15"
"RALBP1"
"RB1CC1"
"AKAP11"
"GABARAPL2"
"MRI1"
"BOD1L1"
"RTN4R"
"PSMA4"
"LCP2"
"DCN"
"TNFRSF17"
"MRPS10"
"VAMP3"
"RCN1"
"RFC2"
"GNA11"
"HDAC7"
"MRPS35"
"CD22"
"KCNQ1"
"OTUD5"
"AQR"
"MBD3"
"PSMC4"
"CAMKK1"
"DERL2"
"ICAM3"
"CTTNBP2"
"CIC"
"KIF22"
"MEF2B"
"TNFRSF1A"
"PPP2R5B"
"BCL3"
"FSTL3"
"TRIP13"
"KRT14"
"FGF4"
"IL4R"
"KEAP1"
"NGFR"
"NTN1"
"LAPTM4A"
"ASNS"
"PTPN18"
"MAP2K5"
"ERLEC1"
"UHRF1BP1"
"HSPB11"
"STRADB"
"OXCT1"
"RPS5"
"EIF2AK1"
"MRPL28"
"RBM22"
"ZW10"
"ITGB4"
"PPP1R15A"
"TRIP6"
"PDRG1"
"PPP1R13B"
"RPL6"
"ENSP00000202788"
"TRMT6"
"UQCRC1"
"OTUB2"
"TFAP4"
"CHRD"
"DLD"
"APOH"
"ESR1"
"HAUS4"
"OSGEP"
"MYL6B"
"CDC6"
"AAAS"
"CBX5"
"PSMD5"
"VCL"
"SIRT1"
"TGFBR3"
"PSMD8"
"EFNA2"
"ATP5D"
"NDUFB7"
"TECR"
"TIMM13"
"CDC34"
"POLR2E"
"GADD45B"
"SERPIND1"
"SNAP29"
"MIF"
"OSM"
"SF3A1"
"USP18"
"SNRPD3"
"MAPK1"
"CRYBB1"
"NHP2L1"
"CBY1"
"TOMM22"
"RTCB"
"JOSD1"
"HMGXB4"
"BIK"
"NIPSNAP1"
"MCM5"
"TTLL12"
"CBX7"
"TAB1"
"MYH9"
"TXN2"
"EIF3D"
"ST13"
"IL2RB"
"RBX1"
"PHF5A"
"ACO2"
"PMM1"
"RIPK3"
"SUPT16H"
"GZMB"
"POLE2"
"SOS2"
"PYGL"
"ATP6V1D"
"PSMA3"
"AHSA1"
"VRK1"
"APEX1"
"PABPN1"
"SRP54"
"NFKBIA"
"PSME2"
"PNN"
"AURKA"
"GSS"
"PYGB"
"MYBL2"
"CSTF1"
"TPD52L2"
"TUBB1"
"BIRC7"
"EEF1A2"
"TRIB3"
"CSNK2A1"
"CDK5RAP1"
"SNTA1"
"CHMP4B"
"LBP"
"AHCY"
"PIGU"
"TXNL1"
"MYL12A"
"TAF9"
"PSMD10"
"TBL1X"
"PGRMC1"
"NXT2"
"STAG2"
"F9"
"BCORL1"
"PQBP1"
"RP2"
"USP11"
"HTATSF1"
"TIMP1"
"MAGED2"
"ATP12A"
"NDFIP2"
"MMP2"
"ORC6"
"NUTF2"
"ARL2BP"
"DHODH"
"POLR2C"
"PARD6A"
"MMP15"
"PSMD7"
"USP10"
"TSC2"
"STUB1"
"CSK"
"EHD4"
"GABPB1"
"VPS18"
"FDFT1"
"AGO2"
"PAG1"
"RIPK2"
"DECR1"
"PLAT"
"EIF3E"
"CHRAC1"
"MTMR9"
"TNFRSF10A"
"PPP2CB"
"CNOT3"
"EXOSC5"
"PAF1"
"STXBP2"
"HNRNPL"
"RELB"
"FCGRT"
"RNASEH2A"
"SF3A2"
"AES"
"SGTA"
"SNAPC2"
"FBL"
"TBCB"
"POLR2I"
"CCDC9"
"TGFB1"
"PLIN3"
"CD79A"
"ICAM5"
"CDC37"
"RABAC1"
"EPOR"
"DNASE2"
"RPL18A"
"PIK3R2"
"RAB3A"
"PSENEN"
"ENSP00000222270"
"USF2"
"FKBP8"
"ERF"
"GSK3A"
"ABCF2"
"HGF"
"CPA4"
"OGDH"
"CAV2"
"NOD1"
"BUD31"
"WASL"
"AIMP2"
"RBM28"
"SERPINE1"
"MOGAT3"
"PLOD3"
"RPA3"
"PSMA2"
"MRPL32"
"GCK"
"CHMP5"
"C5"
"EDF1"
"C8G"
"VIM"
"BLNK"
"ENSP00000224764"
"ACTA2"
"SFXN3"
"FBXL15"
"OBFC1"
"PPIF"
"CCL3"
"MPO"
"CRYBA1"
"TADA2A"
"AATF"
"PSMB3"
"RPL19"
"CSF3"
"SUPT4H1"
"TAX1BP3"
"GOSR2"
"RPS6KB1"
"CBX1"
"PFN1"
"SLC25A11"
"C1QBP"
"GOSR1"
"MED31"
"DRG2"
"AKAP10"
"CCL2"
"PEX12"
"COL1A1"
"MRPL27"
"LRRC59"
"HDAC5"
"EFNB3"
"VTN"
"ALDOC"
"JADE1"
"NFKB1"
"IL2"
"GAR1"
"CD82"
"SPI1"
"ZNF259"
"CRTAM"
"HSPA8"
"CCND1"
"PRPF19"
"ANAPC15"
"IL10RA"
"BIRC2"
"PDHX"
"C11orf58"
"YBX3"
"KITLG"
"SART3"
"PXN"
"SLC25A3"
"POLR3B"
"SELPLG"
"ASIC1"
"KCTD10"
"IL23A"
"GLI1"
"LTA4H"
"ARPC3"
"FGF6"
"RAD51AP1"
"AKAP3"
"DUSP16"
"CDKN1B"
"LTBR"
"ARHGDIB"
"IFNG"
"NUP107"
"CNOT2"
"KRR1"
"MRPL51"
"GAPDH"
"COPS7A"
"GNB3"
"APOBEC1"
"LDHB"
"PRKAB1"
"RAB35"
"SRSF9"
"FGFR1OP2"
"ASF1A"
"HINT3"
"FBXO5"
"FANCE"
"MAPK14"
"STK38"
"HLA-DOA"
"MCM3"
"CAP2"
"RPS12"
"GMNN"
"SNX3"
"BYSL"
"TBP"
"DNPH1"
"EXOC2"
"TMEM30A"
"LY86"
"SKIV2L2"
"GHR"
"GZMK"
"IL12B"
"TTC1"
"LNPEP"
"IL4"
"IL5"
"SKP1"
"NUP155"
"NR3C1"
"C5orf15"
"TRIM23"
"RARS"
"BNIP1"
"MLH1"
"CRBN"
"BCL6"
"ECT2"
"GNB4"
"KLHL18"
"RRP9"
"TNNC1"
"EIF2AK2"
"DDX1"
"MAPRE3"
"MSH2"
"NCK2"
"TFPI"
"APOB"
"ENSP00000233468"
"APC2"
"WBP1"
"NDUFS7"
"PCGF1"
"DOK1"
"IGFBP5"
"HSPE1"
"IL1R1"
"IL1RL1"
"ID2"
"GORASP2"
"ORC2"
"PPP3R1"
"ATP6V1B1"
"MSH6"
"SPR"
"ENO1"
"CDC7"
"BCL9"
"TMEM59"
"OPRD1"
"WDR77"
"MAD2L2"
"MFN2"
"PRDM2"
"RGS2"
"VAMP4"
"APOA1"
"EEF1B2"
"ATIC"
"TTR"
"TBPL1"
"FBXO30"
"TNFAIP3"
"MED28"
"MYL12B"
"RPN2"
"PKD2"
"NDUFB3"
"ZFAND5"
"YWHAQ"
"CPSF3"
"VPS4B"
"NEK9"
"TGFB3"
"TP53I3"
"FAM98A"
"YIPF4"
"CRIPT"
"DUSP1"
"TNFSF11"
"UFM1"
"EGR1"
"PFN2"
"NFYB"
"CCDC53"
"DUSP4"
"TARDBP"
"COIL"
"SPOP"
"ENSP00000240343"
"NCAPH"
"KLRK1"
"PYROXD1"
"TFG"
"NAA50"
"MAPK8IP1"
"PEX16"
"TNFSF10"
"GSTM2"
"ACVR2A"
"POLK"
"FLT3"
"FYTTD1"
"MTERFD2"
"MRPS2"
"AHR"
"BBS9"
"NPY"
"INHBA"
"CNTFR"
"ZC3HAV1"
"SRGN"
"UNG"
"DYNLL1"
"RNF11"
"BHLHE41"
"DDX39A"
"C19orf43"
"ATP7B"
"LRP1"
"C1orf63"
"IL13RA2"
"RIF1"
"NMI"
"SNRPA"
"ZNF350"
"HAUS3"
"CHPF"
"ACTR5"
"PLCG1"
"SRSF6"
"SNAI1"
"RNF114"
"SNRNP27"
"FBXO9"
"PACSIN1"
"SNRPC"
"HIST1H1D"
"HIST1H1A"
"HIST1H2BG"
"HIST1H3B"
"MEA1"
"CDKN1A"
"SSR1"
"ATXN1"
"KATNAL2"
"BBS2"
"EFNB2"
"IRF1"
"BMP4"
"SOX9"
"MRPS7"
"GGA3"
"NUP85"
"MIF4GD"
"INSIG2"
"THOC2"
"C3"
"VASP"
"SYMPK"
"CDC25B"
"DSTN"
"SNRPB2"
"NCLN"
"FNTB"
"RALY"
"CAPNS1"
"UBA2"
"COX6B1"
"CCR7"
"KRT9"
"NR1D1"
"ARL2"
"TSKS"
"SBDS"
"MLX"
"WNK4"
"TRAP1"
"SUGP1"
"NSRP1"
"ELK1"
"DAAM1"
"ATG14"
"SIX1"
"HSPA2"
"TBPL2"
"CANX"
"PYCARD"
"COX7C"
"TRAF2"
"PIN1"
"EPS15L1"
"KLF2"
"GFER"
"GNG13"
"ZNF10"
"TICAM1"
"EIF3K"
"TUBA4A"
"VIL1"
"HSPB1"
"SHFM1"
"GNGT1"
"PTPN12"
"ZFP36"
"TUBGCP6"
"YWHAH"
"GNAZ"
"TST"
"RAC2"
"LIF"
"NAA38"
"STRIP2"
"LRRC4"
"GDF2"
"PIAS1"
"SNAP23"
"TMOD2"
"AMOTL2"
"COPB1"
"MYOD1"
"USP6"
"TXNDC17"
"CCL4"
"ERI1"
"BCL2L2"
"PARP2"
"FOXA1"
"EGLN3"
"NEDD8"
"RAP1B"
"AANAT"
"ARHGEF6"
"DAZL"
"MAPK8IP3"
"MKNK2"
"KLF16"
"ZC3H14"
"LMAN1"
"NUP37"
"CORO7"
"HCN2"
"WDR18"
"SLX1A"
"TUBG1"
"RPS16"
"NCAPG"
"FBXO44"
"HBA2"
"ENSP00000251757"
"RRM2B"
"RAF1"
"MED17"
"TSG101"
"CARD10"
"TRPC4AP"
"CUL9"
"NDUFA2"
"KRT5"
"KRT1"
"KCNA5"
"PRKCSH"
"PVRL2"
"APOE"
"TOMM40"
"GADD45G"
"XPO7"
"ACE2"
"SAFB2"
"RPL36"
"LSM7"
"MLLT1"
"ACTN4"
"NDUFA10"
"EPO"
"ARPC1B"
"SCO2"
"JUND"
"ATXN10"
"TUBGCP2"
"HBZ"
"TAF4"
"ADRM1"
"UBE2M"
"TRIM28"
"EIF2S3"
"MRPL4"
"EIF3G"
"LATS1"
"RBM39"
"EDA2R"
"ATP6V1E1"
"COX4I1"
"GINS2"
"RLIM"
"HAUS8"
"MRPS25"
"ZFYVE20"
"NR1H2"
"RPL27"
"VPS25"
"RAMP2"
"NDFIP1"
"EXOC4"
"PPFIA1"
"WDR44"
"RARA"
"FUS"
"FSHB"
"SNRPA1"
"NR0B2"
"LGALS3"
"DNAJB1"
"TRIM21"
"SMARCC1"
"ARFIP2"
"PTCD3"
"PER2"
"RAMP1"
"RPA1"
"WBP2"
"H3F3B"
"HRSP12"
"BRD8"
"TERF2"
"VPS4A"
"JAG1"
"SNAP25"
"NXT1"
"APCS"
"NASP"
"NMUR2"
"XPO4"
"PEMT"
"CCNA1"
"RFXAP"
"BTBD2"
"HSPBP1"
"RARRES3"
"MED10"
"MKRN1"
"NTS"
"BTG1"
"KRAS"
"MED6"
"EIF2S1"
"ELP3"
"MBD2"
"CCNB1"
"CD180"
"IL5RA"
"IRAK2"
"VHL"
"BHLHE40"
"ARL8B"
"EDEM1"
"GSTM3"
"SORT1"
"ARF3"
"SLC38A2"
"FST"
"NARS"
"GRP"
"CCNH"
"CABLES1"
"DOCK2"
"DDB2"
"FAM127A"
"PHC2"
"PRPF38A"
"TIMM10"
"GIF"
"PDGFRA"
"APC"
"ANXA1"
"HNF1A"
"HRK"
"DTX1"
"TRAFD1"
"RINT1"
"ORC3"
"LMO2"
"CD63"
"PRPH"
"KRT85"
"CDK4"
"ESPL1"
"HTRA2"
"CCT7"
"RAB11FIP5"
"MRPL53"
"USP15"
"DYNC1LI2"
"FHOD1"
"TAF5L"
"STX6"
"RGS8"
"MRPL44"
"USP37"
