source,target,pathway_name,prob,pval
EG,Immune,SEMA3,0.0006117320382108502,0.0
Keratinocyte,ENDO,SEMA3,0.0010053247275490524,0.0
Keratinocyte,SM,SEMA3,0.003361209567126365,0.0
Keratinocyte,EG,SEMA3,0.00021546921196333963,0.0
Immune,ENDO,SEMA3,0.0006461543249142171,0.0
Immune,EG,SEMA3,0.0038440665732491957,0.0
FIB,SM,TENASCIN,0.001091383621564814,0.0
FIB,EG,TENASCIN,0.009735910535835685,0.0
ENDO,FIB,TENASCIN,0.0006442315439271526,0.0
SM,FIB,TENASCIN,0.0014339215515203592,0.0
SM,ENDO,TENASCIN,0.0006936269919977509,0.0
SM,SM,TENASCIN,0.009090253002123292,0.0
SM,EG,TENASCIN,0.013674472568233618,0.0
EG,FIB,TENASCIN,0.004044547621613514,0.0
EG,ENDO,TENASCIN,0.0009050142270755115,0.0
EG,EG,TENASCIN,0.019610259716133564,0.0
Keratinocyte,SM,TENASCIN,0.001594606729814782,0.0
Keratinocyte,EG,TENASCIN,0.0012391028709192713,0.0
Immune,EG,TENASCIN,0.0013869768760671726,0.0
FIB,Immune,MHC-I,0.00014296514541262503,0.0
ENDO,ENDO,MHC-I,0.0006156061379077749,0.0
ENDO,Keratinocyte,MHC-I,0.0043256399457506315,0.0
ENDO,Immune,MHC-I,0.004430405522639873,0.0
SM,SM,MHC-I,0.02950235692224453,0.0
SM,Immune,MHC-I,0.002385506101583141,0.0
EG,FIB,MHC-I,0.0008091862489188011,0.0
EG,EG,MHC-I,0.009889104865454936,0.0
Keratinocyte,ENDO,MHC-I,0.004171452125371891,0.0
Immune,FIB,MHC-I,0.00014296514541262503,0.0
Immune,ENDO,MHC-I,0.004285283096049734,0.0
Immune,SM,MHC-I,0.001273012228407822,0.0
Immune,Immune,MHC-I,0.0006520080023372159,0.0
FIB,SM,DESMOSOME,0.0016635577552559788,0.0
FIB,EG,DESMOSOME,0.0033179433718160153,0.0
ENDO,Keratinocyte,DESMOSOME,0.000807550697194456,0.0
ENDO,Immune,DESMOSOME,0.0007071613592819004,0.0
SM,FIB,DESMOSOME,0.0016635577552559788,0.0
SM,EG,DESMOSOME,0.0012591824975654285,0.0
EG,FIB,DESMOSOME,0.0033179433718160153,0.0
EG,SM,DESMOSOME,0.0012591824975654285,0.0
EG,EG,DESMOSOME,0.006067424072836466,0.0
Keratinocyte,ENDO,DESMOSOME,0.000807550697194456,0.0
Keratinocyte,Keratinocyte,DESMOSOME,0.034954162167658696,0.0
Keratinocyte,Immune,DESMOSOME,0.0024574829295684643,0.0
Immune,ENDO,DESMOSOME,0.0007071613592819004,0.0
Immune,Keratinocyte,DESMOSOME,0.0024574829295684643,0.0
FIB,FIB,CCL,0.0008722490633221247,0.0
FIB,ENDO,CCL,0.0010739091205123972,0.0
FIB,SM,CCL,0.0010437710918110063,0.0
FIB,EG,CCL,0.0005043714379710538,0.0
ENDO,FIB,CCL,0.0009983590543038226,0.0
ENDO,ENDO,CCL,0.003158394315747815,0.0
ENDO,SM,CCL,0.0004604005161845966,0.0
ENDO,EG,CCL,0.0007376388609791996,0.0
ENDO,Keratinocyte,CCL,0.0006875428406422815,0.0
ENDO,Immune,CCL,0.0009567877445221282,0.0
SM,FIB,CCL,0.0019509505626247412,0.0
SM,ENDO,CCL,0.0015782031501045454,0.0
SM,SM,CCL,0.007345096146232974,0.0
SM,EG,CCL,0.0026445057069353862,0.0
SM,Immune,CCL,0.002594449613354969,0.0
EG,FIB,CCL,0.0030615445576626446,0.0
EG,ENDO,CCL,0.0015579634911285197,0.0
EG,SM,CCL,0.0038350557359654487,0.0
EG,EG,CCL,0.009523475404529622,0.0
EG,Immune,CCL,0.0003927797439698525,0.0
Keratinocyte,ENDO,CCL,0.0004269967589089044,0.0
Keratinocyte,SM,CCL,0.001402313300220389,0.0
Keratinocyte,Immune,CCL,0.0009566605873597302,0.0
Immune,ENDO,CCL,0.001960032492905018,0.0
Immune,SM,CCL,0.0014757712086276,0.0
Immune,Keratinocyte,CCL,0.000333004659167443,0.0
Immune,Immune,CCL,0.004787954686857315,0.0
FIB,FIB,NOTCH,0.003965278389005302,0.0
FIB,SM,NOTCH,0.000569927751913076,0.0
FIB,Immune,NOTCH,0.000564786208678485,0.0
ENDO,ENDO,NOTCH,0.0010217590842897589,0.0
ENDO,SM,NOTCH,0.0034124091109384476,0.0
ENDO,Immune,NOTCH,0.0009302758210110927,0.0
SM,FIB,NOTCH,0.0008861432371161784,0.0
SM,ENDO,NOTCH,0.0034124091109384476,0.0
SM,SM,NOTCH,0.010420945423247365,0.0
SM,EG,NOTCH,0.0003480037332825999,0.0
SM,Immune,NOTCH,0.0016928314740190069,0.0
