source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
ENDO,ENDO,Tgfb1,TGFbR1_R2,0.009209565800297637,0.0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
ENDO,FIB-P,Tgfb1,TGFbR1_R2,0.0024453607399813225,0.0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
ENDO,MELA,Tgfb1,TGFbR1_R2,0.006819105831314787,0.0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
ENDO,MYL,Tgfb1,TGFbR1_R2,0.0051581187424691605,0.0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Immune,ENDO,Tgfb1,TGFbR1_R2,0.012085355759824688,0.0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Immune,FIB-P,Tgfb1,TGFbR1_R2,0.0032134663340433003,0.0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Immune,MELA,Tgfb1,TGFbR1_R2,0.008957014111011075,0.0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Immune,MYL,Tgfb1,TGFbR1_R2,0.006777529992707853,0.0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
MYL,ENDO,Tgfb1,TGFbR1_R2,0.011216692169648731,0.0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
MYL,FIB-P,Tgfb1,TGFbR1_R2,0.0029816209876096936,0.0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
MYL,MELA,Tgfb1,TGFbR1_R2,0.008311557520068475,0.0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
MYL,MYL,Tgfb1,TGFbR1_R2,0.006288696808267048,0.0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
FIB-A,ENDO,Tgfb2,TGFbR1_R2,0.0009751061073105742,0.0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
FIB-A,FIB-P,Tgfb2,TGFbR1_R2,0.0002578896280692397,0.0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
FIB-A,MELA,Tgfb2,TGFbR1_R2,0.0007200576442669379,0.0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
FIB-A,MYL,Tgfb2,TGFbR1_R2,0.000544157880033779,0.0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Muscle,ENDO,Tgfb2,TGFbR1_R2,0.005949349334628711,0.0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Muscle,FIB-P,Tgfb2,TGFbR1_R2,0.0015769336192379745,0.0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Muscle,MELA,Tgfb2,TGFbR1_R2,0.004399874839425678,0.0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Muscle,MYL,Tgfb2,TGFbR1_R2,0.003326785712490288,0.0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Spinious,ENDO,Tgfb2,TGFbR1_R2,0.0009271105106125927,0.0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Spinious,FIB-P,Tgfb2,TGFbR1_R2,0.0002450443652574198,0.0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Spinious,MELA,Tgfb2,TGFbR1_R2,0.000684326980383786,0.0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Spinious,MYL,Tgfb2,TGFbR1_R2,0.0005170802960106375,0.0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Muscle,ENDO,Tgfb3,TGFbR1_R2,0.0010339199132041153,0.0,TGFB3_TGFBR1_TGFBR2,Tgfb3  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Muscle,FIB-P,Tgfb3,TGFbR1_R2,0.000273296764679591,0.0,TGFB3_TGFBR1_TGFBR2,Tgfb3  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Muscle,MELA,Tgfb3,TGFbR1_R2,0.0007632072610619619,0.0,TGFB3_TGFBR1_TGFBR2,Tgfb3  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Muscle,MYL,Tgfb3,TGFbR1_R2,0.0005766933156107481,0.0,TGFB3_TGFBR1_TGFBR2,Tgfb3  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Basal-P,Muscle,Bmp2,BMPR1A_ACVR2B,0.000334426133800213,0.0,BMP2_BMPR1A_ACVR2B,Bmp2  - (Bmpr1a+Acvr2b),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
FIB-B,Muscle,Bmp4,BMPR1A_ACVR2B,0.0005802373466133254,0.0,BMP4_BMPR1A_ACVR2B,Bmp4  - (Bmpr1a+Acvr2b),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
FIB-P,Muscle,Bmp4,BMPR1A_ACVR2B,0.0005418928801887171,0.0,BMP4_BMPR1A_ACVR2B,Bmp4  - (Bmpr1a+Acvr2b),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Basal,Muscle,Bmp7,BMPR1A_ACVR2B,0.0036399649487426143,0.0,BMP7_BMPR1A_ACVR2B,Bmp7  - (Bmpr1a+Acvr2b),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Basal-P,Muscle,Bmp7,BMPR1A_ACVR2B,0.0038881865046303094,0.0,BMP7_BMPR1A_ACVR2B,Bmp7  - (Bmpr1a+Acvr2b),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Muscle,Muscle,Bmp7,BMPR1A_ACVR2B,0.0003350606027788677,0.0,BMP7_BMPR1A_ACVR2B,Bmp7  - (Bmpr1a+Acvr2b),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Spinious,Muscle,Bmp7,BMPR1A_ACVR2B,0.0025262435569410723,0.0,BMP7_BMPR1A_ACVR2B,Bmp7  - (Bmpr1a+Acvr2b),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Basal,FIB-A,Wnt10a,FZD1_LRP6,0.00048313168119965005,0.0,WNT10A_FZD1_LRP6,Wnt10a  - (Fzd1+Lrp6),WNT,Secreted Signaling,KEGG: mmu04310; PMID: 23209147
Basal,FIB-P,Wnt10a,FZD1_LRP6,0.0011095152387980763,0.0,WNT10A_FZD1_LRP6,Wnt10a  - (Fzd1+Lrp6),WNT,Secreted Signaling,KEGG: mmu04310; PMID: 23209147
Basal-P,FIB-A,Wnt10a,FZD1_LRP6,0.00040860388983152,0.0,WNT10A_FZD1_LRP6,Wnt10a  - (Fzd1+Lrp6),WNT,Secreted Signaling,KEGG: mmu04310; PMID: 23209147
