"interaction_name","pathway_name","ligand","receptor","agonist","antagonist","co_A_receptor","co_I_receptor","evidence","annotation","interaction_name_2","is_neurotransmitter","ligand.symbol","ligand.family","ligand.location","ligand.keyword","ligand.secreted_type","ligand.transmembrane","receptor.symbol","receptor.family","receptor.location","receptor.keyword","receptor.surfaceome_main","receptor.surfaceome_sub","receptor.adhesome","receptor.secreted_type","receptor.transmembrane","version"
"IL2_IL2RB_IL2RG","IL2","Il2","IL2RB_IL2RG","","","","","KEGG: mmu04060","Secreted Signaling","Il2  - (Il2rb+Il2rg)",FALSE,"Il2","IL-2","Secreted","Immunity, Chromosomal rearrangement, Signal, Reference proteome, Proto-oncogene, Pharmaceutical, Disulfide bond, Secreted, Growth factor, Direct protein sequencing, 3D-structure, Adaptive immunity, Cytokine, Glycoprotein","cytokine;growth factor",FALSE,"Il2rb, Il2rg","Type I cytokine receptor","Cell membrane, Cell surface","Disease variant, Membrane, Signal, Reference proteome, Host-virus interaction, Cell membrane, Transmembrane helix, Disulfide bond, Transmembrane, Receptor, 3D-structure, Glycoprotein, Alternative splicing, SCID, Phosphoprotein, Direct protein sequencing","Receptors","CytokineR;IG;Type1","","",TRUE,"CellChatDB v1"
"TSLP_IL7R_CRLF2","IL2","Tslp","IL7R_CRLF2","","","","","KEGG: mmu04060","Secreted Signaling","Tslp  - (Il7r+Crlf2)",FALSE,"Tslp","","Secreted","Signal, Reference proteome, Disulfide bond, Secreted, Alternative splicing, 3D-structure, Cytokine, Glycoprotein","cytokine",FALSE,"Il7r, Crlf2","Type I cytokine receptor","Cell membrane, Secreted","Membrane, Signal, Reference proteome, Cell membrane, Transmembrane helix, Disulfide bond, Secreted, Transmembrane, Receptor, Alternative splicing, 3D-structure, Glycoprotein, Disease variant, SCID, Phosphoprotein","Receptors, Unclassified","CytokineR;IG;Type1, Unclassified","","cytokine",TRUE,"CellChatDB v1"
"IL1B_IL1R1_IL1RAP","IL1","Il1b","IL1R1_IL1RAP","","IL antagonist","","IL1 inhibition receptor","KEGG: mmu04060","Secreted Signaling","Il1b  - (Il1r1+Il1rap)",FALSE,"Il1b","IL-1","Cytoplasm, Secreted, Cytosol, Lysosome, Extracellular exosome","Lysosome, Reference proteome, Secreted, Mitogen, Direct protein sequencing, Cytoplasm, 3D-structure, Inflammatory response, Cytokine, Pyrogen","cytokine",FALSE,"Il1r1, Il1rap","Interleukin-1 receptor","Cell membrane, Secreted, Membrane","Immunity, Membrane, Secreted, Disulfide bond, Transmembrane, Receptor, Alternative splicing, Glycoprotein, Hydrolase, Reference proteome, Signal, Immunoglobulin domain, Cell membrane, Innate immunity, Transmembrane helix, Phosphoprotein, 3D-structure, NAD, Inflammatory response, Repeat","Receptors","CytokineR;IG;Type1","","cytokine",TRUE,"CellChatDB v1"
"IL34_CSF1R","CSF","Il34","Csf1r","","","","","KEGG: mmu04060","Secreted Signaling","Il34  - Csf1r",FALSE,"Il34","IL-34","Secreted","Immunity, Signal, Reference proteome, Innate immunity, Secreted, Growth factor, Alternative splicing, 3D-structure, Inflammatory response, Cytokine, Glycoprotein","cytokine;growth factor",FALSE,"Csf1r","Protein kinase superfamily, Tyr protein kinase","Cell membrane","Immunity, Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Alternative splicing, Tyrosine-protein kinase, Repeat, Transferase, Glycoprotein, Disease variant, Signal, Reference proteome, Neurodegeneration, Immunoglobulin domain, Cell membrane, Innate immunity, Transmembrane helix, Proto-oncogene, Phosphoprotein, 3D-structure, Nucleotide-binding, Inflammatory response, Ubl conjugation","Receptors","Kinase;PDGFR","","",TRUE,"CellChatDB v1"
"LTA_TNFRSF1A","LT","Lta","Tnfrsf1a","","","","","KEGG: mmu04060","Secreted Signaling","Lta  - Tnfrsf1a",FALSE,"Lta","Tumor necrosis factor","Membrane, Secreted","Membrane, Signal, Reference proteome, Secreted, Direct protein sequencing, 3D-structure, Cytokine, Glycoprotein","cytokine",FALSE,"Tnfrsf1a","","Cell membrane, Secreted, Golgi apparatus membrane","Membrane, Host-virus interaction, Secreted, Disulfide bond, Transmembrane, Receptor, Alternative splicing, Glycoprotein, Amyloidosis, Disease variant, Signal, Reference proteome, Cell membrane, Transmembrane helix, Direct protein sequencing, Apoptosis, Golgi apparatus, Cleavage on pair of basic residues, 3D-structure, Repeat","Receptors","Other_receptors;TNFNGF","","secreted",TRUE,"CellChatDB v1"
"TNFSF12_TNFRSF12A","TWEAK","Tnfsf12","Tnfrsf12a","","","","","KEGG: mmu04060","Secreted Signaling","Tnfsf12  - Tnfrsf12a",FALSE,"Tnfsf12","Tumor necrosis factor","Secreted form]: Secreted, Cell membrane, [Tumor necrosis factor ligand superfamily member 12","Membrane, Disulfide bond, Differentiation, Secreted, Transmembrane, Signal-anchor, Alternative splicing, Cytokine, Glycoprotein, Developmental protein, Reference proteome, Cell membrane, Transmembrane helix, Apoptosis, Cleavage on pair of basic residues, Angiogenesis, 3D-structure","cytokine",TRUE,"Tnfrsf12a","","Membrane","Membrane, Signal, Developmental protein, Reference proteome, Transmembrane helix, Disulfide bond, Differentiation, Transmembrane, Apoptosis, Receptor, Angiogenesis, Alternative splicing, 3D-structure, Cell adhesion","","","","",TRUE,"CellChatDB v1"
"SPP1_CD44","SPP1","Spp1","Cd44","","","","","PMID: 21907263","Secreted Signaling","Spp1  - Cd44",FALSE,"Spp1","Osteopontin","Secreted","Signal, Reference proteome, Phosphoprotein, Secreted, Biomineralization, Sialic acid, Direct protein sequencing, Alternative splicing, 3D-structure, Cell adhesion, Cytokine, Glycoprotein","cytokine",FALSE,"Cd44","","Cell membrane, Microvillus, Cell projection","Membrane, Disulfide bond, Transmembrane, Receptor, Alternative splicing, Blood group antigen, Glycoprotein, Cell projection, Signal, Reference proteome, Cell membrane, Transmembrane helix, Phosphoprotein, Direct protein sequencing, 3D-structure, Cell adhesion, Proteoglycan","Unclassified","Unclassified","","",TRUE,"CellChatDB v1"
"SPP1_ITGAV_ITGB3","SPP1","Spp1","ITGAV_ITGB3","","","","","PMID: 21907263","Secreted Signaling","Spp1  - (Itgav+Itgb3)",TRUE,"Spp1","Osteopontin","Secreted","Signal, Reference proteome, Phosphoprotein, Secreted, Biomineralization, Sialic acid, Direct protein sequencing, Alternative splicing, 3D-structure, Cell adhesion, Cytokine, Glycoprotein","cytokine",FALSE,"Itgav, Itgb3","Integrin alpha chain, Integrin beta chain","Focal adhesion, Cell membrane, Cell junction, Postsynaptic cell membrane, Lamellipodium membrane, Cell projection, Synapse","Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Host cell receptor for virus entry, Receptor, Alternative splicing, Glycoprotein, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Cell membrane, Direct protein sequencing, Calcium, Cleavage on pair of basic residues, 3D-structure, Cell junction, Cell adhesion, Repeat, Cell projection, Disease variant, Phosphoprotein, Postsynaptic cell membrane, Synapse","Receptors","Integrin;Other_receptors","Adhesion receptor","",TRUE,"CellChatDB v1"
"SPP1_ITGAV_ITGB5","SPP1","Spp1","ITGAV_ITGB5","","","","","PMID: 21907263","Secreted Signaling","Spp1  - (Itgav+Itgb5)",FALSE,"Spp1","Osteopontin","Secreted","Signal, Reference proteome, Phosphoprotein, Secreted, Biomineralization, Sialic acid, Direct protein sequencing, Alternative splicing, 3D-structure, Cell adhesion, Cytokine, Glycoprotein","cytokine",FALSE,"Itgav, Itgb5","Integrin alpha chain, Integrin beta chain","Focal adhesion, Cell membrane, Cell junction, Membrane","Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Host cell receptor for virus entry, Receptor, Alternative splicing, Glycoprotein, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Cell membrane, Direct protein sequencing, Calcium, Cleavage on pair of basic residues, 3D-structure, Cell junction, Cell adhesion, Repeat, Phosphoprotein","Receptors","Integrin;Other_receptors","Adhesion receptor","",TRUE,"CellChatDB v1"
"SPP1_ITGA4_ITGB1","SPP1","Spp1","ITGA4_ITGB1","","","","","PMID: 21907263","Secreted Signaling","Spp1  - (Itga4+Itgb1)",TRUE,"Spp1","Osteopontin","Secreted","Signal, Reference proteome, Phosphoprotein, Secreted, Biomineralization, Sialic acid, Direct protein sequencing, Alternative splicing, 3D-structure, Cell adhesion, Cytokine, Glycoprotein","cytokine",FALSE,"Itga4, Itgb1","Integrin alpha chain, Integrin beta chain","Membrane, Ruffle membrane, Melanosome, Ruffle, Focal adhesion, Cell projection, Cleavage furrow, Recycling endosome, Invadopodium membrane, Lamellipodium, Cell membrane, Cell surface, Cell junction","Membrane, Disulfide bond, Transmembrane, Receptor, Alternative splicing, Glycoprotein, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Phosphoprotein, Direct protein sequencing, Calcium, 3D-structure, Cell adhesion, Repeat, Host-virus interaction, Endosome, Host cell receptor for virus entry, Magnesium, Cell projection, Cell membrane, Acetylation, Isopeptide bond, Cell junction, Myogenesis, Ubl conjugation","Receptors","Integrin;Other_receptors","Adhesion receptor","",TRUE,"CellChatDB v1"
