"Cdh1"
"Bcl6b"
"Pparg"
"Raf1"
"Kat2b"
"Dnmt3l"
"Rpa1"
"Smarcb1"
"Ilf2"
"Uhrf1"
"Efnb2"
"Vsig2"
"Plaur"
"Snrpd1"
"Map2k7"
"Ap2a2"
"Bcam"
"Prkar2b"
"Cdkn1b"
"Ap1m1"
"Ncstn"
"Il7r"
"Dnmt1"
"Ikbkg"
"Sin3b"
"Bid"
"Cd244a"
"Traf6"
"Sh2b2"
"Ufd1"
"Stx1a"
"Nid1"
"Prkaca"
"Igf1r"
"Trim28"
"Kit"
"Sh2d1a"
"Psmb4"
"Crkl"
"Tead4"
"Epor"
"Nectin4"
"Cdt1"
"Nphs1"
"Gmnn"
"Cdk4"
"Ctnnb1"
"Psmd2"
"Tgfbr1"
"Bcl2l1"
"Rhoa"
"Gabpa"
"Ush1c"
"Nanog"
"Rpa3"
"Birc3"
"Csf1"
"Psmb1"
"Slamf1"
"Hspa8"
"Psmd3"
"Psmd11"
"Suz12"
"Cd40"
"Crk"
"Psmb6"
"Ywhab"
"Tnip1"
"Kpna2"
"Pcgf2"
"Dlg4"
"Ndel1"
"Cd22"
"Dvl2"
"Rnf31"
"Sema6a"
"Hdac2"
"Rev3l"
"Traf3ip2"
"Tnfaip3"
"Stx7"
"Cry1"
"Ascl1"
"Tbk1"
"Egfr"
"Frs2"
"Mdm2"
"Btnl10"
"Rgs9"
"Id2"
"Dnmt3a"
"Psmc5"
"Psmd12"
"Grb2"
"Pafah1b1"
"Per1"
"Vamp2"
"Psma6"
"Nfkbia"
"Hif1a"
"Psmc1"
"Atxn3"
"Fos"
"Traf3"
"Nedd9"
"Ripk1"
"Ly86"
"Cd180"
"Psmd6"
"Ptprg"
"Ngly1"
"Plau"
"Psmc6"
"Rnaseh2b"
"Tnfsf11"
"Fbxl3"
"Psmb5"
"Ripk3"
"Myc"
"Smc1b"
"Bcl6"
"Crebbp"
"Atg3"
"Igsf11"
"Gsk3b"
"Cxadr"
"Ets2"
"Runx1"
"Ifnar1"
"Cdkn1a"
"Hbb-bs"
"Cd4"
"Hsp90ab1"
"Lyzl1"
"Cdh2"
"H2-K1"
"Ring1"
