"","MGI.symbol","Symbol"
"8111","Pik3cb","pik3cb"
"8112","Zbtb46","zbtb46"
"8113","Sox4","sox4a"
"8114","Cfp","si:ch73-237c6.1"
"8115","Cfp","cfp"
"8116","Asb1","asb1"
"8117","Baiap2l2","baiap2l2a"
"8118","Baiap2l2","baiap2l2b"
"8119","Hspg2","hspg2"
"8120","Tubb5","tubb5"
"8121","Mgll","mgll"
"8122","Zfp185","znf185"
"8123","Sh3yl1","sh3yl1"
"8124","Dot1l","dot1l"
"8125","Zfp143","znf143b"
"8126","Zfp143","znf143a"
"8127","Zfp423","znf423"
"8128","Tnni2","tnni2b.2"
"8129","Tnni2","tnni2b.1"
"8130","Coq8a","coq8aa"
"8131","Rapgef3","rapgef3"
"8132","Pip4p2","pip4p2"
"8133","Axin1","axin1"
"8134","Oxct2a","oxct1a"
"8135","Purg","purg"
"8136","Chkb","chkb"
"8137","Ppcdc","ppcdc"
"8138","Ctnnd2","ctnnd2a"
"8139","Fgfbp3","fgfbp3"
"8140","Map4k5","map4k5"
"8141","Tbc1d12","tbc1d12b"
"8142","Fabp6","fabp6"
"8143","Eif4b","eif4ba"
"8144","Eif4b","eif4bb"
"8145","Ucp2","ucp2"
"8146","Fam204a","fam204a"
"8147","Anapc1","anapc1"
"8148","Vrtn","vrtn"
"8149","Ap4s1","ap4s1"
"8150","Slx1b","slx1b"
"8151","Usp40","usp40"
"8152","Taar5","taar13b"
"8153","Taar5","taar13e"
"8154","Taar5","taar13a"
"8155","Taar5","taar13d"
"8156","Taar5","taar13c"
"8157","Kars","kars1"
"8158","Flrt3","flrt3"
"8159","Eya3","eya3"
"8160","Arr3","arr3a"
"8161","Arr3","arr3b"
"8162","Mmp7","mmp20a"
"8163","Me3","me3"
"8164","Fzd3","fzd3a"
"8165","Pdcd4","pdcd4b"
"8166","Nup98","nup98"
"8167","Gm6619","prss56"
"8168","Gm6619","si:dkey-76d14.2"
"8169","Cbs","cbsa"
"8170","Cbs","cbsb"
"8171","Rab1b","rab1ab"
"8172","Rab1b","rab1aa"
"8173","Eef1a1","eef1a1l2"
"8174","Eef1a1","eef1a1b"
"8175","Best2","best2"
"8176","Extl1","ext1c"
"8177","Ikbkb","ikbkb"
"8178","Mark3","mark3b"
"8179","Dbx1","dbx1b"
"8180","Ppp1r3b","ppp1r3b"
"8181","Aars","aars1"
"8182","Cilp2","cilp2"
"8183","Celf1","celf1"
"8184","Rabep2","rabep2"
"8185","Gpr27","gpr27"
"8186","Uckl1","uckl1b"
"8187","Jagn1","jagn1b"
"8188","Msh3","msh3"
"8189","Dctn1","dctn1b"
"8190","Cemip2","cemip2"
"8191","Vcpip1","vcpip1"
"8192","Slc25a46","slc25a46"
"8193","Kbtbd4","kbtbd4"
"8194","Prickle1","prickle1b"
"8195","Gls2","gls2a"
"8196","Kcnf1","kcnf1b"
"8197","Rnf212b","rnf212b"
"8198","Slc45a2","slc45a2"
"8199","Zbtb11","zbtb11"
"8200","Ptpn5","ptpn5"
"8201","Wdfy4","wdfy4"
"8202","Nsd1","si:dkeyp-87d1.1"
"8203","Nsd1","si:dkey-199k11.6"
"8204","Ppp1cb","ppp1cb"
"8205","Spata2l","spata2l"
"8206","Dusp10","dusp10"
"8207","Zbtb2","zbtb2a"
"8208","Zbtb2","zbtb2b"
"8209","Arhgef28","arhgef28a"
"8210","Camk1","camk1b"
"8211","Camk1","camk1a"
"8212","Msl2","msl2a"
"8213","Msl2","msl2b"
"8214","Psmb5","psmb5"
"8215","Rtn4ip1","rtn4ip1"
"8216","Gbe1","gbe1a"
"8217","Gbe1","gbe1b"
"8218","Kcng1","kcng1"
"8219","Gip","gip"
"8220","Shoc2","shoc2"
"8221","Epcam","epcam"
"8222","Sla2","sla2"
"8223","Sla2","si:ch211-25d12.7"
"8224","Nr1i2","nr1i2"
"8225","E2f3","e2f3"
"8226","Cldnd2","lim2.2"
"8227","Macrod1","macrod1"
"8228","Tob1","tob1b"
"8229","Cdk17","cdk17"
"8230","Snrnp48","snrnp48"
"8231","Arhgap5","arhgap5"
"8232","Btbd11","btbd11a"
"8233","Btbd11","btbd11b"
"8234","Eif4g3","eif4g3b"
"8235","Eif4g3","eif4g3a"
"8236","Ptn","ptn"
"8237","Mcmbp","mcmbp"
"8238","Smpdl3b","smpdl3b"
"8239","Senp6","senp6a"
"8240","Scly","scly"
"8241","Wdcp","wdcp"
"8242","Slf1","slf1"
"8243","Ercc5","bivm"
"8244","Helz2","si:dkey-97a13.6"
"8245","Helz2","helz2"
"8246","Cntfr","cntfr"
"8247","Ewsr1","ewsr1a"
"8248","Dtd2","dtd2"
"8249","H6pd","h6pd"
"8250","Gpc1","gpc1a"
"8251","Slc19a2","slc19a2"
"8252","Mthfs","mthfs"
"8253","Nnt","nnt"
"8254","Aspa","aspa"
"8255","Il9r","mpl"
"8256","Dbp","dbpb"
"8257","Slain1","slain1a"
"8258","Iqce","iqce"
"8259","Plek2","plek2"
"8260","Sgpl1","sgpl1"
"8261","Rpp21","rpp21"
"8262","Serpinb8","serpinb14"
"8263","Serpinb8","serpinb1l1"
"8264","Serpinb8","zgc:173729"
"8265","Serpinb8","serpinb1l4"
"8266","Rab39","rab42a"
"8267","Kcnk3","kcnk3a"
"8268","Myl9","myl9a"
"8269","Polr2c","polr2c"
"8270","Gtf3c2","gtf3c2"
"8271","Bcar1","bcar1"
"8272","Crtc1","crtc1b"
"8273","Gm10320","sec61b"
"8274","Bmper","bmper"
"8275","Ppt1","ppt1"
"8276","Exoc4","exoc4"
"8277","Kcnh8","kcnh8"
"8278","Adora1","adora1a"
"8279","Adora1","adora1b"
"8280","Myo3a","myo3a"
"8281","Cnih2","cnih2"
"8282","Wdr6","wdr6"
"8283","Tnfrsf10b","nradd"
"8284","Dlx5","dlx5a"
"8285","Slamf6","si:cabz01074946.1"
"8286","Sacm1l","sacm1la"
"8287","Gfod2","gfod2"
"8288","Drg2","drg2"
"8289","Ecrg4","ecrg4b"
"8290","Cnp","cnp"
"8291","Msx3","msx1b"
"8292","Msx3","msx3"
"8293","Msx3","msx2a"
"8294","Nrd1","nrd1b"
"8295","Ap1m2","ap1m2"
"8296","Klhl5","klhl5"
"8297","Lmtk3","si:dkey-40m6.8"
"8298","Aire","aire"
"8299","H2-Ke6","hsd17b8"
"8300","Sqstm1","sqstm1"
"8301","Wee1","wee1"
"8302","Bpgm","bpgm"
"8303","Il20ra","il20ra"
"8304","Rxfp1","rxfp1"
"8305","Strbp","strbp"
"8306","Rangrf","rangrf"
"8307","Ahsa1","ahsa1b"
"8308","Ddx49","ddx49"
"8309","Plod3","plod3"
"8310","Ddc","ddc"
"8311","Uhrf1","uhrf1"
"8312","Tyms","tyms"
"8313","Akap9","akap9"
"8314","Sync","sync"
"8315","Myo7a","myo7ab"
"8316","Tmem169","tmem169b"
"8317","Tmem169","tmem169a"
"8318","Tex15","tex15"
"8319","Abhd17b","abhd17b"
"8320","Cd5","si:ch211-150o23.3"
"8321","Six6","six6b"
"8322","Trip12","trip12"
"8323","Ubap2","ubap2b"
"8324","Dst","si:ch211-165e15.1"
"8325","Asb4","asb4"
"8326","Ccsap","ccsapb"
"8327","Aifm1","aifm1"
"8328","Csf1","csf1b"
"8329","Csf1","csf1a"
"8330","Plekhf2","plekhf2"
"8331","Gm28042","pla2g4f.1"
"8332","Gm28042","pla2g4f.2"
"8333","Acy3","acy3.2"
"8334","Acy3","acy3.1"
"8335","Fam234a","fam234a"
"8336","Cfap65","si:ch1073-349o24.2"
"8337","Dhx32","dhx32b"
"8338","Nudt21","nudt21"
"8339","Edil3","edil3b"
"8340","Mag","mag"
"8341","Ddx11","ddx11"
"8342","Arl6ip4","arl6ip4"
"8343","Ccdc113","ccdc113"
"8344","Itpkb","itpkb"
"8345","Gpr63","gpr63"
"8346","Saa2","saa"
"8347","Xpa","xpa"
"8348","Igdcc4","igdcc4"
"8349","Ipmk","ipmkb"
"8350","Wbp1l","wbp1la"
"8351","Pmepa1","pmepa1"
"8352","Cct5","cct5"
"8353","Tmem150b","zgc:123244"
"8354","Tmem141","tmem141"
"8355","Maf1","zgc:112356"
"8356","Cfap61","si:zfos-223e1.2"
"8357","Urb2","urb2"
