"","MGI.symbol","Symbol"
"1","Tagln","tagln2"
"2","Ndufs7","ndufs7"
"3","Casp3","casp3a"
"4","Wdr66","wdr66"
"5","Cnksr2","cnksr2b"
"6","2610507B11Rik","si:ch211-259g3.4"
"7","Zc3h10","zc3h10"
"8","Fgd5","fgd5b"
"9","Tbx19","tbx19"
"10","Drap1","drap1"
"11","B4galt7","b4galt7"
"12","Smim22","si:ch1073-443f11.2"
"13","Hmgcl","hmgcl"
"14","Irf2","irf2"
"15","Sez6l","sez6l"
"16","Ammecr1","ammecr1"
"17","Hpgd","hpgd"
"18","AI837181","zgc:63470"
"19","Lect2","si:ch211-132p1.3"
"20","Nfatc4","nfatc4"
"21","Wdr46","wdr46"
"22","Slc35a1","slc35a1"
"23","Hsf4","hsf4"
"24","Brd7","brd7"
"25","Pik3ca","pik3ca"
"26","Cadm3","cadm3"
"27","Slc30a6","slc30a6"
"28","Sugt1","sugt1"
"29","Ptchd1","ptchd1"
"30","Gm45928","si:dkey-28b4.7"
"31","Lrfn1","lrfn1"
"32","Map1a","map1ab"
"33","Adgrd1","adgrd1"
"34","Nfxl1","nfxl1"
"35","Galk1","galk1"
"36","Tspan18","tspan18b"
"37","Vmo1","vmo1b"
"38","Soga3","soga3a"
"39","Cuedc2","cuedc2"
"40","Cdc73","cdc73"
"41","Exoc2","exoc2"
"42","Cd22","si:ch211-1f22.10"
"43","Cd22","si:ch211-1f22.11"
"44","Slc16a4","slc16a4"
"45","Naglu","naglu"
"46","Fgfr1op2","fgfr1op2"
"47","Ints14","ints14"
"48","Hectd2","hectd2"
"49","Vav3","vav3a"
"50","Mei4","mei4"
"51","Surf6","surf6"
"52","Nt5c3","nt5c3a"
"53","Pigo","pigo"
"54","Dnajc11","dnajc11a"
"55","Wt1","wt1a"
"56","Otud6b","otud6b"
"57","Zfp653","znf653"
"58","Cdh24","cdh24b"
"59","Vamp8","vamp8"
"60","Nsd1","si:dkey-285e18.2"
"61","Pdzd8","pdzd8"
"62","Rxrb","rxrba"
"63","Pex13","pex13"
"64","Tbc1d16","tbc1d16"
"65","Camk1g","camk1gb"
"66","Cbx5","cbx5"
"67","Ndufa4","ndufa4l"
"68","Scn8a","scn8aa"
"69","Ptafr","ptafr"
"70","Guca1a","guca1e"
"71","Aldh9a1","aldh3a2a"
"72","Slc4a4","slc4a4b"
"73","Sri","sri"
"74","Ugt2b37","ugt2a6"
"75","Ugt2b37","ugt2a5"
"76","Sult3a1","sult3st1"
"77","Czib","czib"
"78","Dock4","si:dkey-81e3.1"
"79","Gm3550","rpl29"
"80","Ghr","ghrb"
"81","Pmfbp1","pmfbp1"
"82","Tll1","tll1"
"83","Nkd2","nkd3"
"84","Ptgds","ptgdsb.1"
"85","Nat8f4","si:ch211-195e19.1"
"86","Zmynd8","zmynd8"
"87","Mpc1","mpc1"
"88","Mov10","mov10b.2"
"89","Dclk2","dclk2b"
"90","Usp53","usp53b"
"91","Hhipl2","hhipl2"
"92","Hacd3","hacd3"
"93","Pex6","pex6"
"94","Ormdl2","ormdl2"
"95","Lrp8","lrp8"
"96","Aak1","aak1b"
"97","Slc39a8","slc39a8"
"98","Kyat1","kyat1"
"99","Cuedc1","cuedc1a"
"100","Lactbl1","lactbl1b"
"101","Slc2a7","slc2a3b"
"102","Slc24a1","slc24a1"
"103","Cabp4","si:cabz01076231.1"
"104","Irx4","irx4a"
"105","Kif4","kif4"
"106","Lcp2","lcp2b"
"107","Hormad1","hormad1"
"108","B3galt2","b3galt2"
"109","Supv3l1","supv3l1"
"110","Ccdc13","ccdc13"
"111","Pdzd11","pdzd11"
"112","Rbbp8nl","rbbp8l"
"113","Gpi1","gpia"
"114","Ankrd33","ankrd33ab"
"115","Inpp5k","inpp5kb"
"116","Brwd3","brwd3"
"117","Zfp277","znf277"
"118","Luzp1","luzp1"
"119","Snx3","snx3"
"120","Capn9","capn9"
"121","Cited4","cited4b"
"122","Phpt1","phpt1"
"123","Ddx31","ddx31"
"124","Tbx15","tbx15"
"125","Sin3b","sin3b"
"126","Phax","phax"
"127","Tsg101","tsg101b"
"128","Eif3e","eif3ea"
"129","Glmp","glmp"
"130","Pola1","pola1"
"131","Gdpd2","gdpd2"
"132","Lect2","lect2l"
"133","Babam2","babam2"
"134","Gdpgp1","zgc:153343"
"135","Wdr48","wdr48b"
"136","Zbtb34","zbtb34"
"137","Ccnq","ccnq"
"138","Trim9","trim9"
"139","Tm7sf3","tm7sf3"
"140","Stam2","stam2"
"141","Cib1","cib1"
"142","Gdnf","gdnfa"
"143","Diras1","diras1a"
"144","Tprn","tprn"
"145","Gatd3a","gatd3a"
"146","Nomo1","nomo"
"147","Gbgt1","abo"
"148","Ttc23","ttc23"
"149","Thrb","thrb"
"150","Wdr83os","wdr83os"
"151","Gm10037","si:dkey-285e18.6"
"152","Fam160a1","fam160a1b"
"153","Cfap126","cfap126"
"154","Slc43a2","slc43a2b"
"155","Alkal1","alkal1"
"156","Stc2","stc2a"
"157","Itgb1bp1","itgb1bp1"
"158","Cxcr2","cxcr2"
"159","Surf1","surf1"
"160","Fam120b","fam120b"
"161","Rccd1","rccd1"
"162","Egln2","egln2"
"163","Pus3","pus3"
"164","Zfhx3","zfhx3"
"165","Med13","med13a"
"166","4930503L19Rik","zgc:152948"
"167","Nol7","nol7"
"168","Cd93","cd248a"
"169","Lamtor5","lamtor5"
"170","Ptger3","ptger3"
"171","Arhgef1","arhgef1b"
"172","Lrrc74a","lrrc74a"
"173","Utp14b","si:dkey-251i10.3"
"174","Erf","erfl3"
"175","Cfb","bfb"
"176","Cfb","cfbl"
"177","Tbc1d4","tbc1d4"
"178","Cd79a","cd79a"
"179","Iigp1","irgf2"
"180","Erc1","si:dkey-222l13.1"
"181","Erc1","erc1b"
"182","Clcn6","clcn6"
"183","Larp4b","larp4b"
"184","Fam217b","si:ch211-266k22.6"
"185","Tmc5","tmc5"
"186","Snx33","snx33"
"187","Prpf3","prpf3"
"188","Uchl1","uchl1"
"189","Prok2","prok1"
"190","Wfs1","wfs1b"
"191","Aqp6","aqp9b"
"192","Cacnb4","cacnb4a"
"193","Stim2","stim2b"
"194","Ppp1r3d","ppp1r3db"
"195","Lhfpl2","lhfpl2b"
"196","Vwa1","vwa1"
"197","Sirt3","sirt3"
"198","Smn1","smn1"
"199","Hoxa5","hoxa5a"
"200","Rnf121","rnf121"
"201","Cadps","cadpsb"
"202","Ddx21","ddx21"
"203","Fblim1","fblim1"
"204","Guca1a","si:ch211-103a14.5"
"205","Ccdc73","ccdc73"
"206","Cfap161","cfap161"
"207","Rbm12b2","zgc:153215"
"208","Eif4e3","eif4e3"
"209","Iqcb1","iqcb1"
"210","Bicc1","bicc1b"
"211","Nt5e","nt5e"
"212","Synm","synm"
"213","Sat1","sat1a.2"
"214","Hck","hck"
"215","Vrk1","vrk1"
"216","Syt7","syt7b"
"217","D16Ertd472e","zgc:110006"
"218","Kat14","kat14"
"219","Fbxl14","fbxl14b"
"220","Lsp1","lsp1a"
"221","Esyt1","esyt1b"
"222","Lrrfip1","lrrfip1a"
"223","Smarcd3","smarcd3b"
"224","Atcay","atcayb"
"225","Bdnf","bdnf"
"226","Dis3l","dis3l"
"227","Noc4l","noc4l"
"228","Psmc1","psmc1a"
"229","Brd9","brd9"
"230","Chmp1a","chmp1a"
"231","Ubn2","ubn2b"
"232","Serp1","serp1"
"233","Anxa4","anxa4"
"234","Tmem240","tmem240b"
"235","Fam98b","fam98b"
"236","Angel1","angel1"
"237","Tnr","tnr"
"238","Nr4a2","nr4a2b"
"239","Trmt13","trmt13"
"240","Cd22","si:ch211-1f22.12"
"241","Cd22","si:ch211-1f22.13"
"242","Nrm","nrm"
"243","Asns","asns"
"244","Fbxo44","fbxo44"
"245","Irak1","irak1"
"246","Twnk","twnk"
"247","Mfap4","si:ch1073-110a20.7"
"248","Cadm1","cadm1b"
"249","Ythdc1","ythdc1"
"250","Tfe3","tfe3b"
"251","Pdxk","pdxkb"
"252","Nek1","nek1"
"253","Frmd6","frmd6"
"254","Fpgs","fpgs"
"255","Map7d3","map7d3"
"256","Klhl23","klhl23"
"257","Oxct2b","oxct1b"
"258","Rpl18","rpl18"
"259","Stim1","stim1b"
"260","Panx1","panx1a"
"261","Mapk13","mapk13"
"262","C1qtnf4","si:ch211-219a15.3"
"263","Lrrc14b","lrrc14b"
"264","Nr2e1","nr2e1"
"265","Xpo5","si:ch211-233m11.2"
"266","Mtif2","mtif2"
"267","Pcca","pcca"
"268","Fmnl3","fmnl3"
"269","Got2","got2b"
"270","Cers4","cers4a"
"271","Epas1","epas1a"
"272","Necap2","necap2"
"273","Ankrd9","ankrd9"
"274","Lipe","lipeb"
"275","Rd3","rd3"
"276","Slc22a7","slc22a7b.2"
"277","Ino80b","ino80b"
"278","Otp","otpb"
"279","Hmcn1","hmcn1"
"280","Mfap3l","mfap3l"
"281","Gckr","gckr"
"282","Sipa1l1","sipa1l1"
"283","Aadat","aadat"
"284","Drd4","drd4b"
"285","Cd7","si:ch211-188c18.1"
"286","Tipin","tipin"
"287","Lrp1b","lrp1ba"
"288","Herpud2","herpud2"
"289","Plekha4","si:ch211-234p6.5"
"290","Hspb8","hspb8"
"291","Phactr3","phactr3b"
"292","Pus1","pus1"
"293","Pkdcc","pkdcca"
"294","Pfn2","pfn2"
"295","Unc45a","unc45a"
"296","Tusc2","tusc2b"
"297","Rdh14","rdh14b"
"298","Clcn2","clcn2a"
"299","Clcn2","clcn2c"
"300","Rogdi","rogdi"
"301","Nkx3-1","nkx3-1"
"302","Lrrc39","lrrc39"
"303","Evx1","evx1"
"304","Postn","postna"
"305","Wnt5b","wnt5b"
"306","Rassf1","rassf1"
"307","Spink4","spink4"
"308","Ppp1r18","ppp1r18"
"309","Pgghg","pgghg"
"310","Mgat1","mgat1b"
"311","Msh4","msh4"
"312","Tmem86a","tmem86a"
"313","Pm20d1","pm20d1.2"
"314","Spred1","spred1"
"315","Iqcg","iqcg"
"316","Tmem160","tmem160"
"317","Otud3","otud3"
"318","Tmprss3","tmprss3b"
"319","0610010F05Rik","si:ch211-189k9.2"
"320","Sufu","sufu"
"321","Adat1","adat1"
"322","Pitpna","pitpnab"
"323","Cpe","cpe"
"324","Slc25a37","slc25a37"
"325","Paics","paics"
"326","Nkx2-5","nkx2.5"
"327","Myoz2","myoz2b"
"328","G0s2","g0s2"
"329","Mrpl43","mrpl43"
"330","Gab1","gab1"
"331","Lingo1","lingo1a"
"332","Cspg4","cspg4"
"333","Hoxa1","hoxa1a"
"334","Smg1","smg1"
"335","Gata6","gata6"
"336","Bcas3","bcas3"
"337","Txlna","txlna"
"338","Dlg5","dlg5b.1"
"339","Pja1","pja2"
"340","Uqcrb","uqcrb"
"341","Vav3","si:ch73-383g2.1"
"342","Ccbe1","ccbe1"
"343","Lhfpl3","lhfpl3"
"344","Pcgf5","pcgf5b"
"345","Dap3","dap3"
"346","Prkcd","prkcda"
"347","Cpn1","cpn1"
"348","Ube2g1","ube2g1a"
"349","Tbx20","tbx20"
"350","Tfam","tfam"
"351","Slc4a2","slc4a2b"
"352","Tsn","tsn"
"353","Slc35b1","slc35b1"
"354","Slc25a21","slc25a21"
"355","Irx2","irx2a"
"356","Dusp5","dusp5"
"357","Wars2","wars2"
"358","Hpn","tmprss12"
"359","Mettl5","mettl5"
"360","Rcor2","rcor2"
"361","Pou2f2","pou2f2a"
"362","Cacna2d2","cacna2d2b"
"363","Rnf13","rnf13"
"364","Dbt","dbt"
"365","Rtel1","rtel1"
"366","Cisd2","cisd2"
"367","Hoxa3","hoxa4a"
"368","Hoxa3","hoxa3a"
"369","Xpnpep3","xpnpep3"
"370","Lmx1b","lmx1bb"
"371","Lmx1b","lmx1ba"
"372","C8g","c8g"
"373","Spon2","spon2b"
"374","Vit","si:ch1073-291c23.1"
"375","Zbtb43","zbtb43"
"376","Klhl7","klhl7"
"377","Mapk8","mapk8b"
"378","Trappc11","trappc11"
"379","Pon1","pon1"
"380","Neurl4","neurl4"
"381","Npas1","npas1"
"382","Ugt1a6b","ugt5d1"
"383","Actr3b","actr3b"
"384","Rbks","rbks"
"385","Ostm1","ostm1"
"386","Irgc1","irgf1"
"387","Dmbx1","dmbx1a"
"388","Dyrk2","dyrk2"
"389","Ppat","ppat"
"390","Apol6","si:ch73-233k15.2"
"391","Ncbp2","ncbp2"
"392","Tmem67","tmem67"
"393","Adam17","adam17a"
"394","Mov10","mov10b.1"
"395","Bmp15","bmp15"
"396","Grk1","grk1a"
"397","Tmed11","si:ch211-255i20.3"
"398","Rab40c","rab40c"
"399","Stk33","stk33"
"400","Tpst2","tpst2"
"401","Bfsp2","bfsp2"
"402","Pgap2","pgap2"
"403","Msmo1","msmo1"
"404","Mettl3","mettl3"
"405","Polr1d","polr1d"
"406","Zbtb8a","zbtb8a"
"407","Arhgap32","arhgap32a"
"408","Gnao1","gnao1a"
"409","Rnf10","rnf10"
"410","Eda","eda"
"411","Ndufa9","ndufa9b"
"412","Pex1","pex1"
"413","Mmp17","mmp17a"
"414","Nup155","nup155"
"415","Urb1","urb1"
"416","St13","st13"
"417","Mcrip2","si:dkey-44g23.5"
"418","Hspa9","hspa9"
"419","Tmem41b","tmem41b"
"420","Pnpla7","pnpla7b"
"421","Prr12","prr12a"
"422","Pth1r","pth1r"
"423","Grn","grnb"
"424","Stard3nl","stard3nl"
"425","Gadd45a","gadd45aa"
"426","Arhgef9","arhgef9b"
"427","Rhag","rhag"
"428","Plvap","plvapa"
"429","Prkab1","prkab1a"
"430","Mtch2","mtch2"
"431","Cbfb","cbfb"
"432","Lrmda","lrmda"
"433","Trip6","trip6"
"434","Cplane2","cplane2"
"435","Asxl1","asxl1"
"436","Atp8a2","atp8a2"
"437","E2f6","si:ch211-195d17.2"
"438","Mfap4","si:zfos-2330d3.7"
"439","Mfap4","zgc:173915"
"440","Mfap4","wu:fj11g02"
"441","Mfap4","mfap4"
"442","Mfap4","si:zfos-2330d3.1"
"443","Nkx6-3","nkx6.3"
"444","Tpd52l2","tpd52l2a"
"445","Pelo","pelo"
"446","Fmn1","si:ch1073-209e23.1"
"447","Dhrs13","dhrs13b.1"
"448","Dhrs13","dhrs13l1"
"449","Arhgap25","arhgap25"
"450","Phyhipl","phyhiplb"
"451","Hif1an","hif1an"
"452","Suox","suox"
"453","Trim36","trim36"
"454","B4galt3","b4galt3"
"455","D430041D05Rik","kiaa1549lb"
"456","Cmtm7","cmtm7"
"457","Celf3","celf3b"
"458","Setd7","setd7"
"459","Chrne","chrne"
"460","Bcl6b","bcl6b"
"461","Stard3","stard3"
"462","Trim33","trim33"
"463","Tmem28","fam155b"
"464","Car14","ca14"
"465","Ddi1","ddi2"
"466","D230025D16Rik","si:dkey-102f14.5"
"467","Hgf","hgfa"
"468","Erap1","erap1b"
"469","Sfxn4","sfxn4"
"470","Ube2n","ube2na"
"471","Lect2","si:ch211-132p1.4"
"472","Bcl7a","bcl7a"
"473","Zranb3","zranb3"
"474","Mindy4","si:dkey-30h22.11"
"475","Rars2","rars2"
"476","Ilkap","ilkap"
"477","Cbln3","si:ch211-142d6.2"
"478","Cbln3","cbln6"
"479","Cbln3","cbln8"
"480","Cbln3","cbln17"
"481","Scmh1","scmh1"
"482","Xpr1","xpr1a"
"483","Ppm1e","ppm1e"
"484","Hipk3","hipk3b"
"485","Hipk3","hipk3a"
"486","Fer","fer"
"487","Fndc10","si:zfos-1324h11.5"
"488","Rundc3a","rundc3aa"
"489","Blvra","blvra"
"490","Cacna1a","cacna1ab"
"491","Aloxe3","si:dkey-17e16.9"
"492","Tuft1","tuft1a"
"493","Phgdh","phgdh"
"494","Atp1a1","atp1a1a.1"
"495","Atp1a1","atp1a1a.2"
"496","Iffo2","iffo2a"
"497","Vamp5","vamp5"
"498","Gale","gale"
"499","Kalrn","kalrna"
"500","Ripk4","ripk4"
"501","Tent4b","tent4b"
"502","B4galnt4","b4galnt4a"
"503","Atp2b1","atp2b1a"
"504","Vars2","vars2"
"505","Klhl18","klhl18"
"506","Lman2","lman2"
"507","Crip2","crip2l"
"508","Ssrp1","ssrp1b"
"509","Rrbp1","rrbp1b"
"510","Rbbp9","rbbp9"
"511","Ccdc14","ccdc14"
"512","Arl3","arl3a"
"513","Fech","fech"
"514","Pm20d1","pm20d1.1"
"515","Phex","phex"
"516","Cenpu","si:dkey-185e18.7"
"517","Acot8","acot8"
"518","Tecpr2","tecpr2"
"519","Atp6v1g1","atp6v1g1"
"520","Wdr53","wdr53"
"521","Ankrd1","ankrd1b"
"522","Pggt1b","pggt1b"
"523","Ctbp1","ctbp1"
"524","Cth","cthl"
"525","Cth","cth"
"526","Dip2c","dip2ca"
"527","Irf3","irf3"
"528","Nkx2-3","nkx2.3"
"529","Sdr39u1","sdr39u1"
"530","B4galt1","b4galt1"
"531","Zfp503","znf503"
"532","Nkx2-1","nkx2.1"
"533","Rnft1","rnft1"
"534","Lipc","lipca"
"535","Pik3ap1","pik3ap1"
"536","Cyhr1","cyhr1"
"537","Mboat2","mboat2b"
"538","Srgn","srgn"
"539","Ndst2","ndst2a"
"540","Tm4sf5","tm4sf5"
"541","Adcy7","adcy7"
"542","Ednra","ednrab"
"543","Nexn","nexn"
"544","Id1","id1"
"545","Ppm1g","ppm1g"
"546","Pgpep1l","pgpep1l"
"547","Gm19410","si:dkey-88l16.3"
"548","Man2a2","man2a2"
"549","Taf4b","taf4b"
"550","Sema4g","sema4gb"
"551","Adat3","adat3"
"552","Ncoa3","ncoa3"
"553","Rnf2","rnf2"
"554","Tubgcp4","tubgcp4"
"555","Pstpip2","pstpip2"
"556","Braf","braf"
"557","Rpl3","rpl3"
"558","Scd4","scdb"
"559","Rhog","rhogb"
"560","Igf1r","igf1ra"
"561","Fbxo28","fbxo28"
"562","Onecut2","onecut2"
"563","Tcp11l1","tcp11l1"
"564","Gtf2ird1","gtf2ird1"
"565","Tacr1","tacr1b"
"566","1600012H06Rik","zgc:77929"
"567","Hsd17b2","hsd17b2"
"568","Acadsb","acadsb"
"569","Lmnb1","lmnb1"
"570","Paqr4","paqr4b"
"571","Carmil3","carmil3"
"572","Vdac1","vdac1"
"573","1300017J02Rik","srprb"
"574","Slc10a3","slc10a3"
"575","Armc3","armc3"
"576","Rnf144a","rnf144aa"
"577","Pcdh7","pcdh7b"
"578","Corin","corin"
"579","Bcl6","bcl6aa"
"580","Glud1","glud1b"
"581","Rybp","rybpa"
"582","Pde4c","si:dkey-219c10.4"
"583","Sp3","sp3b"
"584","Ablim1","ablim1b"
"585","Sirt7","sirt7"
"586","Txn1","zgc:56493"
"587","Uck2","uck2b"
"588","Olfml2b","olfml2bb"
"589","Iah1","iah1"
"590","Cacng2","cacng2a"
"591","Glyr1","glyr1"
"592","Med21","med21"
"593","Mccc2","mccc2"
"594","Ccdc85a","ccdc85a"
"595","Mterf3","mterf3"
"596","Ak7","ak7b"
"597","Alkbh2","alkbh2"
"598","Acin1","acin1b"
"599","Twf2","twf2a"
"600","Pde5a","pde5ab"
"601","Trim37","trim37"
"602","Gspt1","gspt1"
"603","Rasgef1b","rasgef1ba"
"604","Anxa5","anxa5b"
"605","Nr2f6","nr2f6a"
"606","9530068E07Rik","si:ch73-269m14.2"
"607","Htra2","si:dkey-112g5.12"
"608","Cdc42se2","cdc42se2"
"609","Fam117a","fam117aa"
"610","Eaf2","eaf2"
"611","Nvl","nvl"
"612","Dclk3","dclk3"
"613","Nsun5","nsun5"
"614","Metap2","metap2b"
"615","Cnot1","cnot1"
"616","Gpr132","gpr132b"
"617","Bmp10","bmp10"
"618","Heatr5b","heatr5b"
"619","Cic","cicb"
"620","Mbp","mbpa"
"621","Kdm1a","kdm1a"
"622","Mcrs1","mcrs1"
"623","Bnip1","bnip1a"
"624","Hoxa11","hoxa11a"
"625","Commd2","commd2"
"626","Pan2","pan2"
"627","Prmt8","prmt8b"
"628","Rfesd","rfesd"
"629","Prps1","prps1b"
"630","Dnajc5","dnajc5aa"
"631","Neu4","neu4"
"632","Kmt2e","kmt2e"
"633","Gng12","gng12a"
"634","Fyn","fyna"
"635","Oip5","oip5"
"636","Slc9b2","si:dkey-162b23.4"
"637","Ell3","si:dkey-208k22.6"
"638","Ell3","zgc:154006"
"639","Des","desmb"
"640","Nudt2","nudt2"
"641","Rpp30","rpp30"
"642","Lsp1","lsp1b"
"643","Gm4846","zgc:77439"
"644","Top1","top1"
"645","Ppp4r2","ppp4r2a"
"646","Ckb","ckbb"
"647","Psma3","psma3"
"648","Rnf6","rnf6"
"649","Stag3","stag3"
"650","Gde1","gde1"
"651","Daam1","daam1a"
"652","Grem1","grem1b"
"653","Bub3","bub3"
"654","Efna2","efna2a"
"655","Gp2","si:dkey-175d9.1"
"656","Pigq","pigq"
"657","Lrch3","lrch3"
"658","Tmed9","tmed9"
"659","Tmem231","tmem231"
"660","Endod1","si:ch211-133n4.4"
"661","Sh2d1a","sh2d1ab"
"662","Ankrd33b","ankrd33bb"
"663","Cd22","si:ch211-1f22.16"
"664","Cd22","si:ch211-1f22.14"
"665","Cd22","si:ch73-94k4.1"
"666","Cd22","si:ch211-286b5.6"
"667","Plscr5","si:ch211-71m22.1"
"668","Gamt","gamt"
"669","Mvb12b","mvb12ba"
"670","Mvb12b","mvb12bb"
"671","Cbx4","cbx4"
"672","Lrp12","lrp12"
"673","Zfp526","znf526"
"674","Mettl15","mettl15"
"675","Foxq1","foxq1b"
"676","Susd4","susd4"
"677","Brpf3","brpf3b"
"678","Stc1","stc1"
"679","Fibin","fibinb"
"680","Wnt8b","wnt8b"
"681","Dennd3","dennd3a"
"682","Phf24","phf24"
"683","Tacr3","tacr3l"
"684","Eif3m","eif3m"
"685","Foxn4","foxn4"
"686","Il13ra2","il13ra2"
"687","Pknox1","pknox1.2"
"688","Phf20l1","phf20l1"
"689","Top2b","top2b"
"690","Homer1","homer1b"
"691","Prph2","prph2b"
"692","Efnb1","efnb1"
"693","Ccdc43","ccdc43"
"694","Rest","rest"
"695","Fbxl19","si:ch73-173p19.1"
"696","Cbx8","cbx8a"
"697","Rimbp2","rimbp2"
"698","Tnnt3","tnnt3a"
"699","Anapc2","anapc2"
"700","Pon2","pon3.2"
"701","Thap3","si:ch211-69l10.4"
"702","Glod4","glod4"
"703","Col12a1","col12a1a"
"704","Sp1","sp1"
"705","Tsen34","tsen34"
"706","Wdr82","wdr82"
"707","Adam6b","adam10a"
"708","Slc22a7","slc22a7b.1"
"709","Tmco4","tmco4"
"710","Nudt4","nudt4a"
"711","9130409I23Rik","degs1"
"712","Cracr2a","cracr2ab"
"713","Immp1l","immp1l"
"714","Sh3rf1","sh3rf1"
"715","Mphosph6","mphosph6"
"716","Mgst2","mgst2"
"717","Man1a","man1a1"
"718","Arhgap35","arhgap35a"
"719","Gabarapl2","gabarapl2"
"720","Atl3","atl3"
"721","Ssu72","ssu72"
"722","Bdh2","bdh2"
"723","Nr2c2","nr2c2"
"724","Ncbp3","ncbp3"
"725","Rpe65","rpe65b"
"726","Pld2","pld2"
"727","Scarb1","scarb1"
"728","Trip13","trip13"
"729","Hao2","hao2"
"730","Bbox1","bbox1"
"731","Epdr1","epdr1"
"732","Casp3","casp3b"
"733","Selenot","selenot1b"
"734","Barhl1","barhl1a"
"735","Tkt","tkta"
"736","Dnah10","si:dkeyp-86b9.1"
"737","Mcl1","mcl1b"
"738","Aqp9","aqp10a"
"739","Arhgap11a","arhgap11a"
"740","Anxa2","anxa2b"
"741","Cdkn2aip","cdkn2aip"
"742","Mmp3","hpxa"
"743","Klhl2","klhl2"
"744","Esf1","esf1"
"745","Bbs1","bbs1"
"746","Rnf212","rnf212"
"747","Celsr2","celsr2"
"748","Cers2","cers2b"
"749","Hmg20a","hmg20a"
"750","Intu","intu"
"751","Dach1","dachd"
"752","Kcnt2","kcnt2"
"753","Tpsb2","si:dkey-9p24.5"
"754","Ptpre","ptpreb"
"755","Rbm17","rbm17"
"756","Cplx4","cplx4a"
"757","Ulk2","ulk2"
"758","Hmgb1","hmgb1b"
"759","Cdk9","cdk9"
"760","Vps26a","vps26a"
"761","Ttf1","si:ch73-376l24.3"
"762","Agl","aglb"
"763","Lman1","lman1"
"764","Lsm2","si:ch73-14h10.2"
"765","Lsm2","smx5"
"766","Ppil2","ppil2"
"767","Itgb4","itgb4"
"768","Fstl4","fstl4"
"769","Ulk1","ulk1b"
"770","Gba","gba"
"771","Zbtb20","zbtb20"
"772","Atpaf2","atpaf2"
"773","Tcerg1","tcerg1a"
"774","Mrps12","si:dkey-17e16.10"
"775","Slx4","slx4"
"776","Slx4","si:dkey-44g23.2"
"777","Stk24","stk24b"
"778","Tbxas1","tbxas1"
"779","Zswim5","zswim5"
"780","Zbtb4","zbtb4"
"781","Arglu1","arglu1b"
"782","Prkra","prkra"
"783","Kcnt1","si:dkey-21e5.1"
"784","Ndufs5","ndufs5"
"785","Serp2","serp2"
"786","Gpm6a","gpm6ab"
"787","Sub1","sub1a"
"788","Npm3","npm3"
"789","St8sia3","st8sia3"
"790","Osgepl1","osgepl1"
"791","Vipas39","vipas39"
"792","Disp2","disp2"
"793","Sec63","sec63"
"794","Slc25a28","slc25a28"
"795","Efnb2","efnb2b"
"796","Ephx2","ephx2"
"797","Hras","hrasb"
"798","Sptlc1","sptlc1"
"799","Hpn","hpn"
"800","Ifng","ifng1"
"801","Ifng","ifng1r"
"802","Ksr1","ksr1a"
"803","Fam102b","fam102ba"
"804","Sypl","sypl1"
"805","Vps72","vps72b"
"806","B3galt4","b3galt4"
"807","Bloc1s4","bloc1s4"
"808","Mecp2","mecp2"
"809","Fam20c","fam20cb"
"810","Bgn","bgnb"
"811","Zpld2","si:dkey-103g5.3"
"812","Synpo2","synpo2b"
"813","Sdhaf2","sdhaf2"
"814","Foxc1","foxc1b"
"815","Kctd12b","kctd12b"
"816","S100g","s100a10a"
"817","Capn1","si:dkeyp-50d11.2"
"818","Psma8","psma8"
"819","Raf1","raf1a"
"820","Ptk2","ptk2aa"
"821","Ubc","ubc"
"822","Zbtb8os","zbtb8os"
"823","Klf5","klf5b"
"824","Klf12","klf12b"
"825","Foxl1","foxl1"
"826","Alas2","alas2"
"827","Usp45","usp45"
"828","Mier1","mier1a"
"829","Strip1","strip1"
"830","Nampt","nampta"
"831","Atp6v1e2","atp6v1e1b"
"832","Fem1c","fem1c"
"833","4933434E20Rik","zgc:123238"
"834","Cd200","si:dkey-31e10.5"
"835","Cd200","si:dkey-31e10.1"
"836","Iffo1","iffo1a"
"837","Efna1","efna1a"
"838","Ephb2","ephb2b"
"839","Dnajb1","dnajb6b"
"840","Uchl5","uchl5"
"841","Eif6","eif6"
"842","Pax9","pax9"
"843","Exosc3","exosc3"
"844","Slbp","slbp"
"845","Ankar","ankar"
"846","Tom1l2","tom1l2"
"847","Irf6","irf6"
"848","Sdhc","sdhc"
"849","Setd6","setd6"
"850","Fibp","fibpb"
"851","Ccdc167","ccdc167"
"852","Eif3h","eif3ha"
"853","Cables1","cables1"
"854","Ubap2","ubap2a"
"855","Sdc4","sdc4"
"856","Mef2a","mef2aa"
"857","Furin","furinb"
"858","Sh3gl3","sh3gl3b"
"859","Arpin","arpin"
"860","Zfp800","znf800b"
"861","Asnsd1","asdurf"
"862","Asnsd1","asnsd1"
"863","Cacybp","cacybp"
"864","Wdr95","wdr95"
"865","Srsf4","srsf4"
"866","Cttnbp2nl","cttnbp2nlb"
"867","Pxn","pxna"
"868","L1cam","l1cama"
"869","Kansl1","kansl1a"
"870","Pthlh","pthlhb"
"871","Mfsd14a","hiat1b"
"872","Mbtps2","mbtps2"
"873","Nid2","nid2b"
"874","Ccdc47","ccdc47"
"875","Slit1","slit1a"
"876","Kcnj10","kcnj10a"
"877","Gnpda2","gnpda2"
"878","Arpc5l","arpc5la"
"879","Tmem243","tmem243a"
